Back to Index,,,,,,,,,,,,,,,,,,,,,,
"Table 4: Knife and offensive weapon offences resulting in a caution or sentence by police force area, in England and Wales, annually from 2014 [note 1]",,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,,,,,,,,,,
u indicates that one or more of the comparative numbers are less than 50. For small numbers this could give misleading rate information.,,,,,,,,,,,,,,,,,,,,,,
"Figures in columns 1 to 11 refer to the numbers of offences, figures in columns 12 to 22 refer to the rates of offences per 100,000 of the population",,,,,,,,,,,,,,,,,,,,,,
Police Force Area,Number of offences: 2014,Number of offences: 2015,Number of offences: 2016,Number of offences: 2017,Number of offences: 2018,Number of offences: 2019,Number of offences: 2020,Number of offences: 2021,Number of offences: 2022,Number of offences: 2023,Number of offences: 2024,"Rate per 100,000: 2014 [note 10]","Rate per 100,000: 2015 [note 10]","Rate per 100,000: 2016 [note 10]","Rate per 100,000: 2017 [note 10]","Rate per 100,000: 2018 [note 10]","Rate per 100,000: 2019 [note 10]","Rate per 100,000: 2020 [note 10]","Rate per 100,000: 2021 [note 10]","Rate per 100,000: 2022 [note 10]","Rate per 100,000: 2023 [note 10]","Rate per 100,000: 2024 [note 10]"
England and Wales,"16,312","17,476","19,306","21,154","21,670","22,480","18,556","19,727","19,825","19,996","20,422",33,35,38,42,42,43,35,38,37,37,38
Avon and Somerset,369,408,428,472,483,500,434,433,384,472,480,26,28,29,32,32,33,28,28,25,30,30
Bedfordshire,198,214,236,317,243,222,156,193,178,213,198,36,39,42,55,43,39,27,33,29,34,31
Cambridgeshire,179,206,251,231,246,260,213,228,272,290,251,25,28,34,31,33,35,29,30,34,36,31
Cheshire,236,261,303,380,429,366,320,244,255,301,311,26,28,33,41,46,39,34,26,26,30,31
City of London,17,22,15,41,26,33,30,25,24,36,36,u,u,u,u,u,u,u,u,u,u,u
Cleveland,257,255,261,276,278,354,324,339,380,366,386,52,52,53,56,56,71,65,68,75,71,74
Cumbria,134,146,141,163,152,162,144,142,133,171,146,30,33,32,36,34,36,32,32,29,38,32
Derbyshire,280,305,335,285,351,353,323,383,355,317,316,31,33,37,31,38,38,34,40,38,33,33
Devon & Cornwall,337,320,341,404,374,426,436,377,386,354,420,22,21,22,26,24,27,27,24,24,22,25
Dorset,144,161,206,221,203,253,204,187,211,210,206,21,24,30,32,29,37,15,27,30,29,29
Durham,236,234,182,185,202,182,178,175,182,171,220,43,42,33,33,36,32,31,31,32,30,38
Dyfed-Powys,114,94,128,98,140,162,119,106,106,102,92,25,20,28,21,30,35,25,22,23,22,19
Essex,465,411,479,556,528,622,492,532,541,555,575,30,26,31,35,33,39,30,33,33,33,34
Gloucestershire,116,133,118,161,119,161,109,124,136,132,106,22,25,22,29,21,29,19,22,24,23,18
